4524486106583,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK M 百鬼夜行,21SJ-14K,BK 百夜,M,2.00,2.00,0.00,0.00,0,NULL
4524486106590,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK L 百鬼夜行,21SJ-14K,BK 百夜,L,3.00,3.00,0.00,0.00,0,NULL
4524486106606,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK XL 百鬼夜行,21SJ-14K,BK 百夜,XL,2.00,2.00,0.00,0.00,0,NULL
4524486107559,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ NV M 鉄流水雪輪,21SJ-14K,NV 鉄流,M,18.00,18.00,0.00,0.00,0,NULL
4524486107566,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ NV L 鉄流水雪輪,21SJ-14K,NV 鉄流,L,22.00,22.00,0.00,0.00,0,NULL
4524486107573,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ NV XL 鉄流水雪輪,21SJ-14K,NV 鉄流,XL,20.00,20.00,0.00,0.00,0,NULL
4524486107740,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ RD M 雲龍,21SJ-14K,RD 雲龍,M,8.00,8.00,0.00,0.00,0,NULL
4524486107757,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ RD L 雲龍,21SJ-14K,RD 雲龍,L,8.00,8.00,0.00,0.00,0,NULL
4524486107764,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ RD XL 雲龍,21SJ-14K,RD 雲龍,XL,7.00,7.00,0.00,0.00,0,NULL
4524486107771,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ RD LW 雲龍,21SJ-14K,RD 雲龍,LW,3.00,3.00,0.00,0.00,0,NULL
4524486093685,21SJ-14K ﾚｻﾞｰｼﾞｬｹｯﾄ BK 流水雪輪 XL,21SJ-14K,流水 BK,XL,228.00,231.00,-3.00,14.00,3,333
